dataset,split_mode,model,seed,group,n_events,n_kcs
assist2012,learner_based,bkt,123,strict,0,0
assist2012,learner_based,bkt,123,k5,0,0
assist2012,learner_based,bkt,123,k10,0,0
assist2012,learner_based,bkt,123,warm,0,0
assist2012,learner_based,bkt,2026,strict,0,0
assist2012,learner_based,bkt,2026,k5,0,0
assist2012,learner_based,bkt,2026,k10,0,0
assist2012,learner_based,bkt,2026,warm,0,0
assist2012,learner_based,bkt,42,strict,0,0
assist2012,learner_based,bkt,42,k5,0,0
assist2012,learner_based,bkt,42,k10,0,0
assist2012,learner_based,bkt,42,warm,0,0
assist2012,learner_based,dkt,42,strict,0,0
assist2012,learner_based,dkt,42,k5,0,0
assist2012,learner_based,dkt,42,k10,0,0
assist2012,learner_based,dkt,42,warm,0,0
assist2012,temporal,bkt,123,strict,0,0
assist2012,temporal,bkt,123,k5,0,0
assist2012,temporal,bkt,123,k10,0,0
assist2012,temporal,bkt,123,warm,0,0
assist2012,temporal,bkt,2026,strict,0,0
assist2012,temporal,bkt,2026,k5,0,0
assist2012,temporal,bkt,2026,k10,0,0
assist2012,temporal,bkt,2026,warm,0,0
assist2012,temporal,bkt,42,strict,0,0
assist2012,temporal,bkt,42,k5,0,0
assist2012,temporal,bkt,42,k10,0,0
assist2012,temporal,bkt,42,warm,0,0
assist2012,temporal,dkt,42,strict,0,0
assist2012,temporal,dkt,42,k5,0,0
assist2012,temporal,dkt,42,k10,0,0
assist2012,temporal,dkt,42,warm,0,0
assist_bkt_test,learner_based,bkt,42,strict,0,0
assist_bkt_test,learner_based,bkt,42,k5,0,0
assist_bkt_test,learner_based,bkt,42,k10,0,0
assist_bkt_test,learner_based,bkt,42,warm,0,0
assist_bkt_test,temporal,bkt,2024,strict,0,0
assist_bkt_test,temporal,bkt,2024,k5,0,0
assist_bkt_test,temporal,bkt,2024,k10,0,0
assist_bkt_test,temporal,bkt,2024,warm,0,0
assist_bkt_test,temporal,bkt,2025,strict,0,0
assist_bkt_test,temporal,bkt,2025,k5,0,0
assist_bkt_test,temporal,bkt,2025,k10,0,0
assist_bkt_test,temporal,bkt,2025,warm,0,0
assist_bkt_test,temporal,bkt,42,strict,0,0
assist_bkt_test,temporal,bkt,42,k5,0,0
assist_bkt_test,temporal,bkt,42,k10,0,0
assist_bkt_test,temporal,bkt,42,warm,0,0
assist_gpu_test,learner_based,bkt,42,strict,0,0
assist_gpu_test,learner_based,bkt,42,k5,0,0
assist_gpu_test,learner_based,bkt,42,k10,0,0
assist_gpu_test,learner_based,bkt,42,warm,0,0
assist_gpu_test,learner_based,dkt,42,strict,0,0
assist_gpu_test,learner_based,dkt,42,k5,0,0
assist_gpu_test,learner_based,dkt,42,k10,0,0
assist_gpu_test,learner_based,dkt,42,warm,0,0
assist_gpu_test,learner_based,simplekt,42,strict,0,0
assist_gpu_test,learner_based,simplekt,42,k5,0,0
assist_gpu_test,learner_based,simplekt,42,k10,0,0
assist_gpu_test,learner_based,simplekt,42,warm,0,0
assist_gpu_test,temporal,bkt,2024,strict,0,0
assist_gpu_test,temporal,bkt,2024,k5,0,0
assist_gpu_test,temporal,bkt,2024,k10,0,0
assist_gpu_test,temporal,bkt,2024,warm,0,0
assist_gpu_test,temporal,bkt,2025,strict,0,0
assist_gpu_test,temporal,bkt,2025,k5,0,0
assist_gpu_test,temporal,bkt,2025,k10,0,0
assist_gpu_test,temporal,bkt,2025,warm,0,0
assist_gpu_test,temporal,bkt,42,strict,0,0
assist_gpu_test,temporal,bkt,42,k5,0,0
assist_gpu_test,temporal,bkt,42,k10,0,0
assist_gpu_test,temporal,bkt,42,warm,0,0
assist_gpu_test,temporal,dkt,2024,strict,0,0
assist_gpu_test,temporal,dkt,2024,k5,0,0
assist_gpu_test,temporal,dkt,2024,k10,0,0
assist_gpu_test,temporal,dkt,2024,warm,0,0
assist_gpu_test,temporal,dkt,2025,strict,0,0
assist_gpu_test,temporal,dkt,2025,k5,0,0
assist_gpu_test,temporal,dkt,2025,k10,0,0
assist_gpu_test,temporal,dkt,2025,warm,0,0
assist_gpu_test,temporal,dkt,42,strict,0,0
assist_gpu_test,temporal,dkt,42,k5,0,0
assist_gpu_test,temporal,dkt,42,k10,0,0
assist_gpu_test,temporal,dkt,42,warm,0,0
assist_gpu_test,temporal,simplekt,2024,strict,0,0
assist_gpu_test,temporal,simplekt,2024,k5,0,0
assist_gpu_test,temporal,simplekt,2024,k10,0,0
assist_gpu_test,temporal,simplekt,2024,warm,0,0
assist_gpu_test,temporal,simplekt,2025,strict,0,0
assist_gpu_test,temporal,simplekt,2025,k5,0,0
assist_gpu_test,temporal,simplekt,2025,k10,0,0
assist_gpu_test,temporal,simplekt,2025,warm,0,0
assist_gpu_test,temporal,simplekt,42,strict,0,0
assist_gpu_test,temporal,simplekt,42,k5,0,0
assist_gpu_test,temporal,simplekt,42,k10,0,0
assist_gpu_test,temporal,simplekt,42,warm,0,0
junyi_bkt_test,learner_based,bkt,42,strict,16,10
junyi_bkt_test,learner_based,bkt,42,k5,162,89
junyi_bkt_test,learner_based,bkt,42,k10,419,179
junyi_bkt_test,learner_based,bkt,42,warm,17344,1060
junyi_bkt_test,temporal,bkt,2024,strict,12,7
junyi_bkt_test,temporal,bkt,2024,k5,174,71
junyi_bkt_test,temporal,bkt,2024,k10,511,144
junyi_bkt_test,temporal,bkt,2024,warm,17249,1042
junyi_bkt_test,temporal,bkt,2025,strict,12,7
junyi_bkt_test,temporal,bkt,2025,k5,174,71
junyi_bkt_test,temporal,bkt,2025,k10,511,144
junyi_bkt_test,temporal,bkt,2025,warm,17249,1042
junyi_bkt_test,temporal,bkt,42,strict,12,7
junyi_bkt_test,temporal,bkt,42,k5,174,71
junyi_bkt_test,temporal,bkt,42,k10,511,144
junyi_bkt_test,temporal,bkt,42,warm,17249,1042
xes_bkt_test,learner_based,bkt,42,strict,0,0
xes_bkt_test,learner_based,bkt,42,k5,0,0
xes_bkt_test,learner_based,bkt,42,k10,0,0
xes_bkt_test,learner_based,bkt,42,warm,0,0
xes_bkt_test,temporal,bkt,2024,strict,0,0
xes_bkt_test,temporal,bkt,2024,k5,0,0
xes_bkt_test,temporal,bkt,2024,k10,0,0
xes_bkt_test,temporal,bkt,2024,warm,0,0
xes_bkt_test,temporal,bkt,2025,strict,0,0
xes_bkt_test,temporal,bkt,2025,k5,0,0
xes_bkt_test,temporal,bkt,2025,k10,0,0
xes_bkt_test,temporal,bkt,2025,warm,0,0
xes_bkt_test,temporal,bkt,42,strict,0,0
xes_bkt_test,temporal,bkt,42,k5,0,0
xes_bkt_test,temporal,bkt,42,k10,0,0
xes_bkt_test,temporal,bkt,42,warm,0,0
xes_dkt_test,learner_based,dkt,42,strict,0,0
xes_dkt_test,learner_based,dkt,42,k5,0,0
xes_dkt_test,learner_based,dkt,42,k10,0,0
xes_dkt_test,learner_based,dkt,42,warm,0,0
xes_dkt_test,temporal,dkt,2024,strict,0,0
xes_dkt_test,temporal,dkt,2024,k5,0,0
xes_dkt_test,temporal,dkt,2024,k10,0,0
xes_dkt_test,temporal,dkt,2024,warm,0,0
xes_dkt_test,temporal,dkt,2025,strict,0,0
xes_dkt_test,temporal,dkt,2025,k5,0,0
xes_dkt_test,temporal,dkt,2025,k10,0,0
xes_dkt_test,temporal,dkt,2025,warm,0,0
xes_dkt_test,temporal,dkt,42,strict,0,0
xes_dkt_test,temporal,dkt,42,k5,0,0
xes_dkt_test,temporal,dkt,42,k10,0,0
xes_dkt_test,temporal,dkt,42,warm,0,0
xes_simplekt_test,learner_based,simplekt,42,strict,0,0
xes_simplekt_test,learner_based,simplekt,42,k5,0,0
xes_simplekt_test,learner_based,simplekt,42,k10,0,0
xes_simplekt_test,learner_based,simplekt,42,warm,0,0
xes_simplekt_test,temporal,simplekt,2024,strict,0,0
xes_simplekt_test,temporal,simplekt,2024,k5,0,0
xes_simplekt_test,temporal,simplekt,2024,k10,0,0
xes_simplekt_test,temporal,simplekt,2024,warm,0,0
xes_simplekt_test,temporal,simplekt,2025,strict,0,0
xes_simplekt_test,temporal,simplekt,2025,k5,0,0
xes_simplekt_test,temporal,simplekt,2025,k10,0,0
xes_simplekt_test,temporal,simplekt,2025,warm,0,0
xes_simplekt_test,temporal,simplekt,42,strict,0,0
xes_simplekt_test,temporal,simplekt,42,k5,0,0
xes_simplekt_test,temporal,simplekt,42,k10,0,0
xes_simplekt_test,temporal,simplekt,42,warm,0,0
