dataset,split,model,seed,group,n_kcs,n_events,auc,acc,nll
assist2012,learner_based,irt_1pl,42,k5,4,5,0.5,0.2,1.0254226995790063
assist2012,learner_based,irt_1pl,42,k10,5,6,0.5,0.1666666666666666,1.0530575886824536
assist2012,learner_based,irt_1pl,42,warm,255,534144,0.5,0.6977968487898395,0.6127258782084245
assist2012,learner_based,irt_1pl,2024,k5,3,3,0.5,0.3333333333333333,0.9149452014390924
assist2012,learner_based,irt_1pl,2024,k10,4,4,0.5,0.25,0.9840466771750842
assist2012,learner_based,irt_1pl,2024,warm,256,542744,0.5,0.6970118508910278,0.613376534358519
assist2012,learner_based,irt_1pl,2025,k5,4,9,,0.0,1.1915236678432282
assist2012,learner_based,irt_1pl,2025,k10,5,11,0.5,0.0909090909090909,1.1161177071140194
assist2012,learner_based,irt_1pl,2025,warm,255,528670,0.5,0.6975958537461933,0.6128919267663404
assist2012,learner_based,dkt,42,k5,4,5,1.0,1.0,0.0810038415756926
assist2012,learner_based,dkt,42,k10,5,6,1.0,1.0,0.0689103078291823
assist2012,learner_based,dkt,42,warm,255,534144,0.6989300717217294,0.7186283099688473,0.5803411443862481
assist2012,learner_based,dkt,2024,k5,3,3,1.0,1.0,0.0093327418795012
assist2012,learner_based,dkt,2024,k10,4,4,1.0,1.0,0.0184979518991771
assist2012,learner_based,dkt,2024,warm,256,542744,0.6986806295570409,0.7191512020400042,0.5800351781413899
assist2012,learner_based,dkt,2025,k5,4,9,,0.8888888888888888,0.5090155236948538
assist2012,learner_based,dkt,2025,k10,5,11,0.4,0.8181818181818182,0.9061094900470952
assist2012,learner_based,dkt,2025,warm,255,528670,0.6984146973627063,0.7187697429398301,0.5801504820176026
assist2012,learner_based,simplekt,42,k5,4,5,1.0,0.8,0.8802854824442019
assist2012,learner_based,simplekt,42,k10,5,6,1.0,0.6666666666666666,0.9842743271263056
assist2012,learner_based,simplekt,42,warm,255,534144,0.6837015203114715,0.6994799155283968,0.6985387606795952
assist2012,learner_based,simplekt,2024,k5,3,3,1.0,1.0,0.0846034601933721
assist2012,learner_based,simplekt,2024,k10,4,4,1.0,1.0,0.1024146656111195
assist2012,learner_based,simplekt,2024,warm,256,542744,0.6802164054971213,0.6951767315714222,0.6976155829174492
assist2012,learner_based,simplekt,2025,k5,4,9,,0.7777777777777778,0.3865230361988112
assist2012,learner_based,simplekt,2025,k10,5,11,0.3,0.7272727272727273,0.5935945046472528
assist2012,learner_based,simplekt,2025,warm,255,528670,0.6836535459152875,0.6985567556320578,0.696357828885989
assist2012,temporal,irt_1pl,42,strict,27,1407,0.5,0.503909026297086,0.7794413042193448
assist2012,temporal,irt_1pl,42,k5,31,1420,0.4937380952380952,0.5049295774647887,0.7782886341921895
assist2012,temporal,irt_1pl,42,k10,33,1713,0.4069951265401775,0.4892002335084647,0.758738261471695
assist2012,temporal,irt_1pl,42,warm,212,529786,0.5918747441997602,0.691420686843367,0.604355304509839
assist2012,temporal,irt_1pl,2024,strict,27,1407,0.5,0.503909026297086,0.7794413042193448
assist2012,temporal,irt_1pl,2024,k5,31,1420,0.4951507936507937,0.5049295774647887,0.7782686719983943
assist2012,temporal,irt_1pl,2024,k10,33,1713,0.4081028575563677,0.4892002335084647,0.7588219253216556
assist2012,temporal,irt_1pl,2024,warm,212,529786,0.5922211628454224,0.6910601639152413,0.6043166789367492
assist2012,temporal,irt_1pl,2025,strict,27,1407,0.5,0.503909026297086,0.7794413042193448
assist2012,temporal,irt_1pl,2025,k5,31,1420,0.4951507936507937,0.5049295774647887,0.7782739239430304
assist2012,temporal,irt_1pl,2025,k10,33,1713,0.4080875497156916,0.4892002335084647,0.7588178461529127
assist2012,temporal,irt_1pl,2025,warm,212,529786,0.5922440774284645,0.6909431355301953,0.6043188553374613
assist2012,temporal,irt_1pl,2026,strict,27,1407,0.5,0.503909026297086,0.7794413042193448
assist2012,temporal,irt_1pl,2026,k5,31,1420,0.4937380952380952,0.5049295774647887,0.7782629290519013
assist2012,temporal,irt_1pl,2026,k10,33,1713,0.4070173924902517,0.4892002335084647,0.7586868929637791
assist2012,temporal,irt_1pl,2026,warm,212,529786,0.5932235788001127,0.6910658265790338,0.6041374326296328
assist2012,temporal,irt_1pl,2027,strict,27,1407,0.5,0.503909026297086,0.7794413042193448
assist2012,temporal,irt_1pl,2027,k5,31,1420,0.4951507936507937,0.5049295774647887,0.7782794506657142
assist2012,temporal,irt_1pl,2027,k10,33,1713,0.40805554241246,0.4892002335084647,0.7586605277240446
assist2012,temporal,irt_1pl,2027,warm,212,529786,0.5918140758198023,0.6908147818175641,0.6045653510671223
assist2012,temporal,dkt,42,strict,27,1407,0.5054679701423773,0.5138592750533049,0.6979439134749758
assist2012,temporal,dkt,42,k5,31,1420,0.5093353174603175,0.5161971830985915,0.6962058921877398
assist2012,temporal,dkt,42,k10,33,1713,0.4910094268466127,0.5096322241681261,0.826810154788251
assist2012,temporal,dkt,42,warm,212,529786,0.6606360889853298,0.6920473549697425,0.6355531873200064
assist2012,temporal,dkt,2024,strict,27,1407,0.4903572972951128,0.4861407249466951,0.7033887984474868
assist2012,temporal,dkt,2024,k5,31,1420,0.4925873015873016,0.4873239436619718,0.7029698010184725
assist2012,temporal,dkt,2024,k10,33,1713,0.4298323373959414,0.4576765907764156,1.0786080320228286
assist2012,temporal,dkt,2024,warm,212,529786,0.6627003392177793,0.6926249466765826,0.6343207526451975
assist2012,temporal,dkt,2025,strict,27,1407,0.4727288525345435,0.5131485429992892,0.7084719760248465
assist2012,temporal,dkt,2025,k5,31,1420,0.4786984126984127,0.5161971830985915,0.7067005821643798
assist2012,temporal,dkt,2025,k10,33,1713,0.422092136501407,0.4821949795680093,0.9044737601805076
assist2012,temporal,dkt,2025,warm,212,529786,0.6606341450732752,0.6912545820387854,0.6386468001802266
assist2012,temporal,dkt,2026,strict,27,1407,0.5058094656908112,0.5046197583511016,0.7014223000072343
assist2012,temporal,dkt,2026,k5,31,1420,0.5115912698412698,0.5084507042253521,0.6988309054900852
assist2012,temporal,dkt,2026,k10,33,1713,0.4716491832571188,0.4921190893169877,0.8005612143399906
assist2012,temporal,dkt,2026,warm,212,529786,0.6600535416031509,0.6917302457973596,0.6376565695672007
assist2012,temporal,dkt,2027,strict,27,1407,0.5406905080403005,0.5422885572139303,0.6914995737224017
assist2012,temporal,dkt,2027,k5,31,1420,0.5484226190476191,0.5464788732394367,0.6875446668704034
assist2012,temporal,dkt,2027,k10,33,1713,0.5046960280328312,0.5253940455341506,0.855917084793282
assist2012,temporal,dkt,2027,warm,212,529786,0.660935531253116,0.6928250274639194,0.6356130539738647
assist2012,temporal,simplekt,42,strict,27,1407,0.4318302140712331,0.4633972992181947,0.8123555062249097
assist2012,temporal,simplekt,42,k5,31,1420,0.4396904761904761,0.4676056338028169,0.8093273344250667
assist2012,temporal,simplekt,42,k10,33,1713,0.4153149379475804,0.4530064214827787,1.1550172041204516
assist2012,temporal,simplekt,42,warm,212,529786,0.67343028208188,0.6803539542381264,0.7635080491868902
assist2012,temporal,simplekt,2024,strict,27,1407,0.5902235280329452,0.5692963752665245,0.6937948687491087
assist2012,temporal,simplekt,2024,k5,31,1420,0.5955198412698414,0.5725352112676056,0.6913271860023361
assist2012,temporal,simplekt,2024,k10,33,1713,0.5384859988922689,0.5481611208406305,1.1095495824508228
assist2012,temporal,simplekt,2024,warm,212,529786,0.6752389778949839,0.6783927850113064,0.7523237373447433
assist2012,temporal,simplekt,2025,strict,27,1407,0.4201142898711208,0.4541577825159915,0.8141874222394381
assist2012,temporal,simplekt,2025,k5,31,1420,0.4287678571428572,0.4584507042253521,0.808166120511706
assist2012,temporal,simplekt,2025,k10,33,1713,0.409840297473093,0.4454173963806188,1.1676508023998342
assist2012,temporal,simplekt,2025,warm,212,529786,0.6734909134083326,0.679695197683593,0.7532330701704604
assist2012,temporal,simplekt,2026,strict,27,1407,0.6462308186598017,0.6169154228855721,0.6630241625181438
assist2012,temporal,simplekt,2026,k5,31,1420,0.6516448412698412,0.6204225352112676,0.6581424009570512
assist2012,temporal,simplekt,2026,k10,33,1713,0.5563328536876588,0.5726795096322241,0.9052944654362818
assist2012,temporal,simplekt,2026,warm,212,529786,0.6736316757928692,0.6814543985684786,0.7631246833038912
assist2012,temporal,simplekt,2027,strict,27,1407,0.5648599059977935,0.5337597725657427,0.7053248465044788
assist2012,temporal,simplekt,2027,k5,31,1420,0.568688492063492,0.5366197183098591,0.7056695122214164
assist2012,temporal,simplekt,2027,k10,33,1713,0.5432182090939707,0.5318155283129014,0.8899835832737036
assist2012,temporal,simplekt,2027,warm,212,529786,0.6749404095860159,0.6781021016032889,0.7608368081649722
junyi,learner_based,irt_1pl,42,warm,1326,3269022,0.5,0.7043981349773725,0.6070977140735917
junyi,learner_based,irt_1pl,2024,warm,1326,3243926,0.5,0.7076829126188452,0.6042666030035501
junyi,learner_based,irt_1pl,2025,warm,1326,3244494,0.5,0.7036699713422185,0.6077232099036887
junyi,learner_based,dkt,42,warm,1326,3269022,0.7325663255875674,0.7332734377437655,0.5442189717560367
junyi,learner_based,dkt,2024,warm,1326,3243926,0.7324230717222795,0.735837377301455,0.5414269626354152
junyi,learner_based,dkt,2025,warm,1326,3244494,0.731536842722013,0.7325965158203406,0.5447171203665876
junyi,learner_based,simplekt,42,warm,1326,3269022,0.7261242578405391,0.7288452020206655,0.5958542431676748
junyi,learner_based,simplekt,2024,warm,1326,3269022,0.7252603324537382,0.7284634364650957,0.5934210001749053
junyi,learner_based,simplekt,2025,warm,1326,3243926,0.7242338280790755,0.7299103000500011,0.5990342953908122
junyi,temporal,irt_1pl,42,strict,4,2545,0.5,0.5147347740667977,0.7752246691797081
junyi,temporal,irt_1pl,42,k5,4,2545,0.5,0.5147347740667977,0.7752246691797081
junyi,temporal,irt_1pl,42,k10,4,2545,0.5,0.5147347740667977,0.7752246691797081
junyi,temporal,irt_1pl,42,warm,1319,3240570,0.6526225774379872,0.7158638757996278,0.573680034915414
junyi,temporal,irt_1pl,2024,strict,4,2545,0.5,0.5147347740667977,0.7752246691797081
junyi,temporal,irt_1pl,2024,k5,4,2545,0.5,0.5147347740667977,0.7752246691797081
junyi,temporal,irt_1pl,2024,k10,4,2545,0.5,0.5147347740667977,0.7752246691797081
junyi,temporal,irt_1pl,2024,warm,1319,3240570,0.6526125280777997,0.7157200739376097,0.5736792040823199
junyi,temporal,irt_1pl,2025,strict,4,2545,0.5,0.5147347740667977,0.7752246691797081
junyi,temporal,irt_1pl,2025,k5,4,2545,0.5,0.5147347740667977,0.7752246691797081
junyi,temporal,irt_1pl,2025,k10,4,2545,0.5,0.5147347740667977,0.7752246691797081
junyi,temporal,irt_1pl,2025,warm,1319,3240570,0.6527314063976685,0.7158743677809768,0.5736907924657793
junyi,temporal,irt_1pl,2026,strict,4,2545,0.5,0.5147347740667977,0.7752246691797081
junyi,temporal,irt_1pl,2026,k5,4,2545,0.5,0.5147347740667977,0.7752246691797081
junyi,temporal,irt_1pl,2026,k10,4,2545,0.5,0.5147347740667977,0.7752246691797081
junyi,temporal,irt_1pl,2026,warm,1319,3240570,0.6525457266455252,0.7159447257735522,0.5736907180746682
junyi,temporal,irt_1pl,2027,strict,4,2545,0.5,0.5147347740667977,0.7752246691797081
junyi,temporal,irt_1pl,2027,k5,4,2545,0.5,0.5147347740667977,0.7752246691797081
junyi,temporal,irt_1pl,2027,k10,4,2545,0.5,0.5147347740667977,0.7752246691797081
junyi,temporal,irt_1pl,2027,warm,1319,3240570,0.6527535839971579,0.7157787055980892,0.5736877486654542
junyi,temporal,dkt,42,strict,4,2545,0.4762295639274345,0.4986247544204322,1.1290404794630884
junyi,temporal,dkt,42,k5,4,2545,0.4762295639274345,0.4986247544204322,1.1290404794630884
junyi,temporal,dkt,42,k10,4,2545,0.4762295639274345,0.4986247544204322,1.1290404794630884
junyi,temporal,dkt,42,warm,1319,3240570,0.5003845612738151,0.6237973566378754,0.8313550086741308
junyi,temporal,simplekt,42,strict,4,2545,0.493131625305189,0.4931237721021611,1.320987460213792
junyi,temporal,simplekt,42,k5,4,2545,0.493131625305189,0.4931237721021611,1.320987460213792
junyi,temporal,simplekt,42,k10,4,2545,0.493131625305189,0.4931237721021611,1.320987460213792
junyi,temporal,simplekt,42,warm,1319,3240570,0.4998215011438943,0.600032401707107,0.9900166201967314
xes3g5m,learner_based,irt_1pl,42,strict,3,4,,1.0,0.444247279405741
xes3g5m,learner_based,irt_1pl,42,k5,12,16,0.5,0.625,0.6621375142418052
xes3g5m,learner_based,irt_1pl,42,k10,25,44,0.5,0.7727272727272727,0.5763019671851738
xes3g5m,learner_based,irt_1pl,42,warm,807,1282378,0.5,0.8005814198309703,0.5601175761089527
xes3g5m,learner_based,irt_1pl,2024,strict,3,3,0.5,0.6666666666666666,0.6379198062080282
xes3g5m,learner_based,irt_1pl,2024,k5,16,19,0.5,0.5263157894736842,0.7195119410849458
xes3g5m,learner_based,irt_1pl,2024,k10,29,61,0.5,0.7540983606557377,0.5870919189076534
xes3g5m,learner_based,irt_1pl,2024,warm,807,1284067,0.5,0.7954421381438819,0.5630569635400743
xes3g5m,learner_based,irt_1pl,2025,strict,3,3,,1.0,0.4430424854544718
xes3g5m,learner_based,irt_1pl,2025,k5,12,13,0.5,0.5384615384615384,0.7127669899571424
xes3g5m,learner_based,irt_1pl,2025,k10,24,34,0.5,0.7647058823529411,0.5805490955930883
xes3g5m,learner_based,irt_1pl,2025,warm,806,1284843,0.5,0.7943390748908622,0.5632313662158218
xes3g5m,learner_based,dkt,42,strict,3,4,,0.75,0.6495482058760519
xes3g5m,learner_based,dkt,42,k5,12,16,0.8333333333333334,0.75,0.9555700935631226
xes3g5m,learner_based,dkt,42,k10,25,44,0.8117647058823529,0.8181818181818182,0.8796710642542919
xes3g5m,learner_based,dkt,42,warm,807,1282378,0.8193793143144007,0.8357426593406936,0.3861942172212558
xes3g5m,learner_based,dkt,2024,strict,3,4,,0.5,0.690839956792656
xes3g5m,learner_based,dkt,2024,k5,12,16,0.8,0.6875,0.9284925143433462
xes3g5m,learner_based,dkt,2024,k10,25,44,0.7705882352941177,0.7272727272727273,0.9321307356724046
xes3g5m,learner_based,dkt,2024,warm,807,1282378,0.8183848141476796,0.8350790484552917,0.3864481148105045
xes3g5m,learner_based,dkt,2025,strict,3,3,0.5,0.3333333333333333,1.362120053203278
xes3g5m,learner_based,dkt,2025,k5,16,19,0.9111111111111112,0.7368421052631579,0.5589773935843098
xes3g5m,learner_based,dkt,2025,k10,29,61,0.8478260869565218,0.7868852459016393,0.7531014364548102
xes3g5m,learner_based,dkt,2025,warm,807,1284067,0.8191709021257108,0.8315524034182017,0.3910955999642942
xes3g5m,learner_based,simplekt,42,strict,3,4,,0.0,1.6038129430788604
xes3g5m,learner_based,simplekt,42,k5,12,16,0.8666666666666667,0.625,0.7665261951702498
xes3g5m,learner_based,simplekt,42,k10,25,44,0.7823529411764706,0.7727272727272727,1.0596382565076972
xes3g5m,learner_based,simplekt,42,warm,807,1282378,0.7565032165542187,0.8094602371531638,0.6082801332625186
xes3g5m,learner_based,simplekt,2024,strict,3,4,,0.25,0.9649968033835614
xes3g5m,learner_based,simplekt,2024,k5,12,16,0.8,0.6875,0.7998575186058283
xes3g5m,learner_based,simplekt,2024,k10,25,44,0.7352941176470588,0.75,1.0516877912512608
xes3g5m,learner_based,simplekt,2024,warm,807,1282378,0.756022653869675,0.8101230682372904,0.6070984488548061
xes3g5m,learner_based,simplekt,2025,strict,3,3,0.5,0.6666666666666666,1.823995751911829
xes3g5m,learner_based,simplekt,2025,k5,16,19,0.9333333333333332,0.8421052631578947,0.657263950171073
xes3g5m,learner_based,simplekt,2025,k10,29,61,0.9,0.8360655737704918,0.6305116776290018
xes3g5m,learner_based,simplekt,2025,warm,807,1284067,0.7571248224763432,0.8065264507225869,0.6210777564188308
xes3g5m,temporal,irt_1pl,42,strict,117,233214,0.5,0.7874998928023189,0.6236104470512345
xes3g5m,temporal,irt_1pl,42,k5,125,258943,0.5155542115738941,0.7690920395608299,0.6284829583192283
xes3g5m,temporal,irt_1pl,42,k10,126,259425,0.516225501967319,0.7689351450322829,0.6284305074096675
xes3g5m,temporal,irt_1pl,42,warm,424,1331318,0.6560950069517534,0.7822451134890387,0.4913428632331602
xes3g5m,temporal,irt_1pl,2024,strict,117,233214,0.5,0.7874998928023189,0.6236104470512345
xes3g5m,temporal,irt_1pl,2024,k5,125,258943,0.5153928795592706,0.7691036251221312,0.6285503158467951
xes3g5m,temporal,irt_1pl,2024,k10,126,259425,0.516064854144476,0.7689389997108991,0.628499053017147
xes3g5m,temporal,irt_1pl,2024,warm,424,1331318,0.654770335782663,0.7821572306541337,0.4913158717930195
xes3g5m,temporal,irt_1pl,2025,strict,117,233214,0.5,0.7874998928023189,0.6236104470512345
xes3g5m,temporal,irt_1pl,2025,k5,125,258943,0.5155823278121698,0.7691345199522674,0.6284546986571907
xes3g5m,temporal,irt_1pl,2025,k10,126,259425,0.5162534247445246,0.7689814011756769,0.6284029224184691
xes3g5m,temporal,irt_1pl,2025,warm,424,1331318,0.6569764300173357,0.7836024150503486,0.4891419226885258
xes3g5m,temporal,irt_1pl,2026,strict,117,233214,0.5,0.7874998928023189,0.6236104470512345
xes3g5m,temporal,irt_1pl,2026,k5,125,258943,0.5155215519564952,0.769095901414597,0.6284906905444221
xes3g5m,temporal,irt_1pl,2026,k10,126,259425,0.5161841334907754,0.7689312903536668,0.6284396001298904
xes3g5m,temporal,irt_1pl,2026,warm,424,1331318,0.6560647496236451,0.782933153461457,0.4907137885374646
xes3g5m,temporal,irt_1pl,2027,strict,117,233214,0.5,0.7874998928023189,0.6236104470512345
xes3g5m,temporal,irt_1pl,2027,k5,125,258943,0.5154547857141616,0.7691461055135687,0.6285078236879234
xes3g5m,temporal,irt_1pl,2027,k10,126,259425,0.516135422742367,0.7689852558542931,0.6284548249535405
xes3g5m,temporal,irt_1pl,2027,warm,424,1331318,0.6574809748187704,0.7826109164001388,0.4901032997175885
xes3g5m,temporal,dkt,42,strict,117,233214,0.5005729100073241,0.6560412325160582,0.8904610477600274
xes3g5m,temporal,dkt,42,k5,125,258943,0.4997407616555819,0.657310682273705,0.88350053484466
xes3g5m,temporal,dkt,42,k10,126,259425,0.499748604751638,0.6572227040570492,0.8835658098137088
xes3g5m,temporal,dkt,42,warm,424,1331318,0.4990788800243964,0.6604064543557587,0.8641915851587045
xes3g5m,temporal,simplekt,42,strict,117,233214,0.5033895710081301,0.6490905348735496,1.2870108196900756
xes3g5m,temporal,simplekt,42,k5,125,258943,0.5025394862738237,0.6510892358549951,1.2739440369656647
xes3g5m,temporal,simplekt,42,k10,126,259425,0.5025420313786615,0.6510012527705502,1.2741404876606897
xes3g5m,temporal,simplekt,42,warm,424,1331318,0.4990853041243587,0.65594846610652,1.2460546864889233
